allele,total,positive,AUC0.1,AUPR,PPV
BoLA-DRB3_01001,937,99,0.0163327788626118,0.2560086466651913,0.29292929292929293
BoLA-DRB3_01201,485,56,0.002913752913752913,0.1420222424964715,0.08928571428571429
BoLA-DRB3_01601,432,44,0.0036316776007497657,0.14291228585097546,0.11363636363636363
BoLA-DRB3_02002,785,77,0.005081077114975421,0.10079161352190744,0.11688311688311688
DRB1_0101,2258,201,0.007011611848390523,0.12505711547250878,0.13432835820895522
DRB1_0301,291,30,0.010344827586206896,0.19667012610756102,0.26666666666666666
DRB1_0401,273,27,0.00993676603432701,0.1385982531189296,0.14814814814814814
DRB1_0402,369,36,0.014514514514514512,0.26023901306804853,0.2777777777777778
DRB1_0403,287,29,0.014167334937182571,0.20294798543140175,0.20689655172413793
DRB1_0404,269,25,0.008196721311475409,0.1587264078106252,0.24
DRB1_0405,216,31,0.0010462074978204012,0.17773937683223712,0.22580645161290322
DRB1_0701,542,62,0.0008064516129032258,0.1188361728743902,0.08064516129032258
DRB1_0801,166,29,0.0055373772967530835,0.23882495476359922,0.27586206896551724
DRB1_0802,268,26,0.020184361093452004,0.28604721877358324,0.34615384615384615
DRB1_0804,286,30,0.01901041666666667,0.26893180413426404,0.36666666666666664
DRB1_0901,401,45,0.008177278401997504,0.14965222112821114,0.15555555555555556
DRB1_1001,233,25,0.00923076923076923,0.13792367336261588,0.2
DRB1_1101,877,92,0.02039601218499031,0.2507494130344134,0.32608695652173914
DRB1_1303,353,36,0.011391517700665965,0.18823262022549248,0.16666666666666666
DRB1_1401,423,43,0.004345165238678091,0.1344946183241567,0.13953488372093023
DRB1_1501,315,42,0.015175300889586605,0.330921474502738,0.30952380952380953
DRB1_1503,225,26,0.0052183996907614995,0.1978618293385545,0.15384615384615385
DRB3_0301,299,29,0.007662835249042145,0.16990807682695652,0.13793103448275862
DRB5_0101,249,27,0.01868535201868535,0.28370901277698707,0.37037037037037035
H-2-IAb,661,57,0.018473335657023353,0.20780501992455408,0.2982456140350877
HLA-DPA10103-DPB10201,1629,136,0.0044570741893542425,0.10736394365734825,0.08088235294117647
HLA-DPA10103-DPB10301,1318,125,0.009441743503772004,0.15954303092499292,0.176
HLA-DPA10103-DPB10401,1993,194,0.00742250849555595,0.14349841401146543,0.17525773195876287
HLA-DPA10103-DPB10402,873,69,0.004704737183646982,0.09996528977567133,0.08695652173913043
HLA-DPA10103-DPB10601,485,39,0.0072438771990341495,0.11915935456426391,0.1282051282051282
HLA-DPA10103-DPB11501,503,34,0.0062711651824909065,0.0945039231327213,0.14705882352941177
HLA-DPA10201-DPB10101,947,72,0.014285714285714284,0.16120096155853547,0.20833333333333334
HLA-DPA10201-DPB10901,878,80,0.015108082706766916,0.2025157569985357,0.2875
HLA-DPA10201-DPB11001,926,93,0.017916844157017647,0.2336980383461532,0.27956989247311825
HLA-DPA10201-DPB11101,402,25,0.006366047745358089,0.13374178520633054,0.28
HLA-DPA10201-DPB11301,1073,91,0.007788545466753206,0.15925431060892123,0.21978021978021978
HLA-DPA10201-DPB11401,1229,110,0.010878219189211145,0.14011320024129378,0.18181818181818182
HLA-DPA10201-DPB11701,446,40,0.00892857142857143,0.16608193013459563,0.15
HLA-DPA10202-DPB10501,1955,145,0.020803962659554198,0.20422768012486148,0.2482758620689655
HLA-DQA10102-DQB10602,413,32,0.009678477690288713,0.1576768887095359,0.125
,,,0.010219185355926804,0.17870389210904,0.20535213193799828
