allele,total,positive,AUC0.1,AUPR,PPV
BoLA-DRB3_01001,896,81,0.004302052563811255,0.11557075136217596,0.13580246913580246
BoLA-DRB3_01201,490,56,0.009669190256747862,0.17354304000048842,0.23214285714285715
BoLA-DRB3_01601,424,46,0.007246376811594202,0.17048510848751333,0.1956521739130435
BoLA-DRB3_02002,789,82,0.006088936419774382,0.10997604154326751,0.13414634146341464
DRB1_0101,2255,191,0.00559326677219043,0.09493652688257562,0.10471204188481675
DRB1_0102,342,55,0.011149825783972125,0.24888040621457924,0.2909090909090909
DRB1_0301,315,26,0.006787330316742083,0.12555914619844272,0.15384615384615385
DRB1_0401,294,39,0.007943690296631473,0.1991100970009883,0.28205128205128205
DRB1_0402,358,36,0.01932367149758454,0.26115890118092033,0.3055555555555556
DRB1_0403,301,27,0.0194647201946472,0.22331474777875132,0.25925925925925924
DRB1_0404,280,35,0.007463556851311953,0.19075247829769293,0.2
DRB1_0701,539,51,0.013621022179363548,0.20383734563348171,0.27450980392156865
DRB1_0802,243,27,0.020576131687242795,0.3388675317008557,0.2962962962962963
DRB1_0804,301,31,0.010035842293906812,0.2270589451707216,0.22580645161290322
DRB1_0901,396,50,0.004855491329479769,0.16482147558363675,0.22
DRB1_1001,216,26,0.010121457489878543,0.21549783553719407,0.2692307692307692
DRB1_1101,907,96,0.009068023016851624,0.15138293823903234,0.16666666666666666
DRB1_1303,358,31,0.01529051987767584,0.1744692537023751,0.25806451612903225
DRB1_1401,431,53,0.0058899870220624935,0.1766821081561083,0.20754716981132076
DRB1_1501,285,27,0.00100488084984209,0.11982611470909195,0.1111111111111111
DRB1_1503,231,26,0.018198874296435272,0.2895745396725711,0.38461538461538464
DRB3_0301,328,30,0.004586129753914988,0.1096739410406125,0.1
DRB4_0103,241,26,0.00966010733452594,0.19725679859510664,0.19230769230769232
DRB5_0101,243,32,0.004739336492890997,0.20484970514708492,0.34375
H-2-IAb,669,48,0.011674718196457328,0.11982184187298965,0.14583333333333334
HLA-DPA10103-DPB10201,1686,168,0.01244980864546082,0.16174917607918982,0.19047619047619047
HLA-DPA10103-DPB10301,1327,128,0.01189141993327773,0.1709175122282149,0.203125
HLA-DPA10103-DPB10401,1957,171,0.010161882870670514,0.1371107177669978,0.15204678362573099
HLA-DPA10103-DPB10402,858,58,0.011982758620689656,0.13485837670583695,0.13793103448275862
HLA-DPA10103-DPB10601,479,30,0.010764662212323682,0.17708283174987244,0.23333333333333334
HLA-DPA10103-DPB11501,503,34,0.0036999874576696353,0.08576950662634847,0.058823529411764705
HLA-DPA10201-DPB10101,943,59,0.006058746836413836,0.08097616598729124,0.1016949152542373
HLA-DPA10201-DPB10901,878,77,0.008658008658008658,0.13625063471970794,0.16883116883116883
HLA-DPA10201-DPB11001,932,86,0.010267194458189015,0.14967159252483947,0.16279069767441862
HLA-DPA10201-DPB11101,416,27,0.007426449585832617,0.1558029186069936,0.2222222222222222
HLA-DPA10201-DPB11301,1066,78,0.013612062701131527,0.14286908582085303,0.16666666666666666
HLA-DPA10201-DPB11401,1246,106,0.012429659053293612,0.16178924561851984,0.22641509433962265
HLA-DPA10201-DPB11701,451,32,0.013573985680190932,0.144969295816609,0.1875
HLA-DPA10202-DPB10501,1981,176,0.005291488290103249,0.10015845602240807,0.10227272727272728
HLA-DQA10102-DQB10602,413,39,0.010763746057863705,0.18428793806003416,0.1794871794871795
,,,0.009834675016166366,0.1682792768510494,0.19958582408188438
