allele,total,positive,AUC0.1,AUPR,PPV
BoLA-DRB3_01001,926,83,0.005216595921050752,0.13551369989411596,0.14457831325301204
BoLA-DRB3_01201,457,59,0.008006132356698746,0.16616138598364943,0.2711864406779661
BoLA-DRB3_01601,422,43,0.003988464134503283,0.13297508810496644,0.11627906976744186
BoLA-DRB3_02002,835,68,0.005982053838484545,0.09652846000669582,0.10294117647058823
DRB1_0101,2303,210,0.010822924487520761,0.1505943372987642,0.1761904761904762
DRB1_0102,269,29,0.010201149425287357,0.22767273113466702,0.20689655172413793
DRB1_0301,275,26,0.008032128514056226,0.1149752370739821,0.15384615384615385
DRB1_0401,313,31,0.0038892701898878973,0.12462055639560657,0.12903225806451613
DRB1_0402,366,39,0.011840351289892574,0.20116922003132218,0.23076923076923078
DRB1_0405,215,30,0.009729729729729731,0.19570007930267125,0.2
DRB1_0701,544,49,0.01360544217687075,0.17876941766823445,0.20408163265306123
DRB1_0804,280,27,0.0020494803103498754,0.11997328191639588,0.14814814814814814
DRB1_0901,397,30,0.0013623978201634875,0.11048313054104683,0.1
DRB1_1101,898,78,0.008036272670419013,0.1349034665286687,0.14102564102564102
DRB1_1303,322,25,0.003501683501683502,0.10603135920163878,0.2
DRB1_1401,454,51,0.003989685204106457,0.1252875949751938,0.13725490196078433
DRB3_0301,323,32,0.010309278350515465,0.18741503665589732,0.28125
DRB4_0103,254,27,0.007994778919889051,0.19395883108050962,0.2222222222222222
DRB5_0101,250,26,0.004979395604395605,0.15310664915709493,0.11538461538461539
H-2-IAb,721,65,0.01095215759849906,0.13652604447913674,0.2
HLA-DPA10103-DPB10201,1650,159,0.009204071388498707,0.1614226123787604,0.1761006289308176
HLA-DPA10103-DPB10301,1322,120,0.0045687742651136995,0.1147025975216743,0.08333333333333333
HLA-DPA10103-DPB10401,1996,206,0.010934533817866247,0.16982000151928622,0.21359223300970873
HLA-DPA10103-DPB10402,915,104,0.008346770368965188,0.1641655863367415,0.18269230769230768
HLA-DPA10103-DPB10601,464,40,0.012735849056603776,0.14856229937793122,0.175
HLA-DPA10103-DPB11501,493,26,0.0022236863778619664,0.05290995317181395,0.038461538461538464
HLA-DPA10201-DPB10101,954,80,0.006335812356979404,0.11549533297607648,0.125
HLA-DPA10201-DPB10901,885,70,0.010867659947414548,0.1309850376042998,0.15714285714285714
HLA-DPA10201-DPB11001,924,79,0.01087558984345742,0.14107346448435515,0.16455696202531644
HLA-DPA10201-DPB11101,422,28,0.00924583031182016,0.14487491515574363,0.14285714285714285
HLA-DPA10201-DPB11301,1071,80,0.006016649848637739,0.10229095242127503,0.0875
HLA-DPA10201-DPB11401,1208,87,0.011535267156787352,0.1216676565607647,0.14942528735632185
HLA-DPA10201-DPB11701,466,50,0.003509615384615385,0.11952458293101985,0.12
HLA-DPA10202-DPB10501,1965,131,0.011908230456100627,0.13439530624218204,0.1450381679389313
HLA-DQA10102-DQB10602,412,26,0.0,0.061220929012195356,0.0
,,,0.007508506074992182,0.13929933814641085,0.15547963688303637
