allele,total,positive,AUC0.1,AUPR,PPV
BoLA-DRB3_01001,901,61,0.012704918032786885,0.11486297477423271,0.18032786885245902
BoLA-DRB3_01201,410,48,0.00897790055248619,0.17380042996468797,0.20833333333333334
BoLA-DRB3_01601,411,40,0.005525606469002696,0.13056890273662847,0.125
BoLA-DRB3_02002,855,89,0.008272948631443072,0.15942269270303433,0.16853932584269662
DRB1_0101,2243,215,0.006828815191963671,0.1372117440294966,0.16744186046511628
DRB1_0102,330,30,0.0,0.10752884665694515,0.1
DRB1_0401,265,33,0.0,0.09705425519451932,0.06060606060606061
DRB1_0402,408,45,0.0012855831037649219,0.11374934750098518,0.044444444444444446
DRB1_0403,291,32,0.002895752895752896,0.10740400750447779,0.15625
DRB1_0407,229,25,0.002352941176470588,0.0997622551303337,0.12
DRB1_0701,527,59,0.007677821237143272,0.1376484750196298,0.15254237288135594
DRB1_0802,245,25,0.002545454545454545,0.19561135913062855,0.12
DRB1_0804,291,26,0.0020319303338171262,0.11285591516341312,0.11538461538461539
DRB1_0901,422,53,0.0057268497213274015,0.15376766409419518,0.18867924528301888
DRB1_1101,899,100,0.005607008760951189,0.146721020321257,0.13
DRB1_1303,366,41,0.0015759849906191367,0.14878051610747117,0.14634146341463414
DRB1_1401,442,43,0.005945095296380487,0.1661424489771196,0.23255813953488372
DRB1_1501,314,36,0.0,0.0913386711146558,0.027777777777777776
DRB3_0301,335,37,0.0043533466352258295,0.17792112139834904,0.1891891891891892
H-2-IAb,695,70,0.002925714285714286,0.1482054490165271,0.1
HLA-DPA10103-DPB10201,1683,164,0.010982835305640747,0.15740539826778227,0.20121951219512196
HLA-DPA10103-DPB10301,1312,104,0.005842460519612839,0.11488904374751929,0.125
HLA-DPA10103-DPB10401,2040,213,0.010120750043042418,0.1645636318424539,0.1784037558685446
HLA-DPA10103-DPB10402,871,71,0.006857394366197182,0.10338940749580301,0.14084507042253522
HLA-DPA10103-DPB10601,491,48,0.0021162528216704295,0.10103386557019967,0.0625
HLA-DPA10103-DPB11501,510,46,0.007683658170914542,0.12441422480681325,0.10869565217391304
HLA-DPA10201-DPB10101,932,57,0.009664160401002504,0.11434564781165216,0.12280701754385964
HLA-DPA10201-DPB10901,889,70,0.012942612942612938,0.13313767582336375,0.2
HLA-DPA10201-DPB11001,907,74,0.01093410337107816,0.13148862535002398,0.16216216216216217
HLA-DPA10201-DPB11101,415,27,0.004868270332187857,0.08607009736368507,0.1111111111111111
HLA-DPA10201-DPB11301,1089,86,0.009286095202763803,0.11193091779128644,0.12790697674418605
HLA-DPA10201-DPB11401,1216,90,0.004460232879415828,0.08994119322248245,0.06666666666666667
HLA-DPA10201-DPB11701,435,26,0.005360165506864774,0.11630306471800819,0.07692307692307693
HLA-DPA10202-DPB10501,1956,133,0.012991887288160062,0.14266770637197504,0.15037593984962405
HLA-DQA10102-DQB10602,411,40,0.013241239892183287,0.16279899642034834,0.2
,,,0.0061310225972471865,0.13070678837548524,0.13622950396201106
